work_id,canonical_title,original_bengali_title,publication,publication_date,rights_status,publication_status,source_id,notes
zea-2026-03-15-sangbad-448,"মধ্যপ্রাচ্যে শক্তির রাজনীতি: প্রযুক্তি, ক্ষমতা ও মুসলিম বিশ্বের সংকট","মধ্যপ্রাচ্যে শক্তির রাজনীতি: প্রযুক্তি, ক্ষমতা ও মুসলিম বিশ্বের সংকট",সংবাদ,2026-03-15,full_text_permitted,published,source-sangbad-448,"Full authorized article imported; advertisements and unrelated source-page elements removed."
zea-2026-04-04-sangbad-1574,"জ্বালানি সংকটের চেয়ে বড় সংকট আস্থাহীনতা","জ্বালানি সংকটের চেয়ে বড় সংকট আস্থাহীনতা",সংবাদ,2026-04-04,full_text_permitted,published,source-sangbad-1574,"Full authorized article imported; advertisements and unrelated source-page elements removed."
zea-2026-04-18-sangbad-2635,"ধর্মের নামে সহিংসতা: কোথায় আমাদের সীমারেখা?","ধর্মের নামে সহিংসতা: কোথায় আমাদের সীমারেখা?",সংবাদ,2026-04-18,full_text_permitted,published,source-sangbad-2635,"Full authorized article imported; advertisements and unrelated source-page elements removed."
zea-2026-04-25-sangbad-3164,"রাজনীতি নয়, অর্থনীতিই গুরুত্বপূর্ণ","রাজনীতি নয়, অর্থনীতিই গুরুত্বপূর্ণ",সংবাদ,2026-04-25,full_text_permitted,published,source-sangbad-3164,"Full authorized article imported; advertisements and unrelated source-page elements removed."
zea-2026-05-02-sangbad-3773,"উন্নয়নশীলের পথে বিরতি: সিদ্ধান্তের পেছনের প্রশ্ন","উন্নয়নশীলের পথে বিরতি: সিদ্ধান্তের পেছনের প্রশ্ন",সংবাদ,2026-05-02,full_text_permitted,published,source-sangbad-3773,"Full authorized article imported; advertisements and unrelated source-page elements removed."
zea-2026-05-09-sangbad-4472,"সংবিধান সংশোধনের রাজনীতি","সংবিধান সংশোধনের রাজনীতি",সংবাদ,2026-05-09,full_text_permitted,published,source-sangbad-4472,"Full authorized article imported; advertisements and unrelated source-page elements removed."
zea-2026-05-16-sangbad-5271,"শিশুদের নিরাপত্তা কোথায়","শিশুদের নিরাপত্তা কোথায়",সংবাদ,2026-05-16,full_text_permitted,published,source-sangbad-5271,"Full authorized article imported; advertisements and unrelated source-page elements removed."
zea-2026-05-23-sangbad-5986,"অনার কিলিং: সভ্যতার অন্ধকার মুখ","অনার কিলিং: সভ্যতার অন্ধকার মুখ",সংবাদ,2026-05-23,full_text_permitted,published,source-sangbad-5986,"Full authorized article imported; advertisements and unrelated source-page elements removed."
zea-2026-06-06-sangbad-7105,"শাস্তির প্রদর্শন নয়, বিচার নিশ্চিত হোক","শাস্তির প্রদর্শন নয়, বিচার নিশ্চিত হোক",সংবাদ,2026-06-06,full_text_permitted,published,source-sangbad-7105,"Full authorized article imported; advertisements and unrelated source-page elements removed."
zea-2026-06-13-sangbad-7916,"বিরোধিতাহীন রাজনীতির বিপদ","বিরোধিতাহীন রাজনীতির বিপদ",সংবাদ,2026-06-13,full_text_permitted,published,source-sangbad-7916,"Full authorized article imported; advertisements and unrelated source-page elements removed."
zea-2026-06-20-sangbad-8627,"স্বাধীন সাংবাদিকতার পথে বাধা কোথায়","স্বাধীন সাংবাদিকতার পথে বাধা কোথায়",সংবাদ,2026-06-20,full_text_permitted,published,source-sangbad-8627,"Full authorized article imported; advertisements and unrelated source-page elements removed."
zea-2026-06-27-sangbad-9440,"বার্ধক্যের নতুন বাস্তবতা","বার্ধক্যের নতুন বাস্তবতা",সংবাদ,2026-06-27,full_text_permitted,published,source-sangbad-9440,"Full authorized article imported; advertisements and unrelated source-page elements removed."
zea-2026-07-04-sangbad-10154,"কুকুরের কান্না, মানুষের নীরবতা","কুকুরের কান্না, মানুষের নীরবতা",সংবাদ,2026-07-04,full_text_permitted,published,source-sangbad-10154,"Full authorized article imported; advertisements and unrelated source-page elements removed."
zea-2026-07-12-sangbad-10895,"জানাজা এক মঞ্চে, উৎসব অন্য মঞ্চে","জানাজা এক মঞ্চে, উৎসব অন্য মঞ্চে",সংবাদ,2026-07-12,full_text_permitted,published,source-sangbad-10895,"Full authorized article imported; advertisements and unrelated source-page elements removed."
